bairro,cep,cidade,cnpj,complemento,email_1,email_2,endereco,estado,ExibirAgendamentoOnline,id,local,unidade_id
Guaratã,00576-965,Rodrigues,93.718.524/0001-01,Campo de Campos,zfreitas@barros.com,nrocha@ig.com.br,"Pátio Carlos Eduardo Almeida, 118",Rondônia,True,4593fb86-2d35-4b3f-85b4-6a2f5233d81e,Cunha,3
Alto Barroca,01357-810,Fogaça do Galho,21.854.673/0001-89,Viaduto Fernandes,maria-luizacavalcanti@uol.com.br,nascimentolorenzo@uol.com.br,"Condomínio Enzo Gabriel Teixeira, 92",Piauí,True,bc9836b1-d0b5-406d-9172-4cd436e124e8,Viana do Campo,4
Horto,55100-114,Santos,13.542.087/0001-70,Alameda Costa,camila43@silva.org,kmartins@das.br,"Núcleo Azevedo, 285",Sergipe,True,4c272ac4-7817-4363-999b-f86c6537f072,da Rosa,10
Etelvina Carneiro,73094-462,Alves,53.416.879/0001-13,Núcleo Gustavo Silveira,ana-carolina07@correia.br,waragao@yahoo.com.br,"Loteamento Araújo, 53",Rio de Janeiro,False,3f68f621-c752-47dd-9e66-46ea3b31cdcd,Cardoso de Viana,7
Vila Independencia 3ª Seção,93458840,Rezende do Oeste,67.489.513/0001-89,Estrada de Araújo,cardosodanilo@da.br,krocha@cavalcanti.net,"Colônia Leandro Campos, 92",Minas Gerais,False,5b199398-7f82-4ed1-821d-ccae7970b34e,Moraes do Amparo,8
Itaipu,44764913,Cardoso,84.761.395/0001-35,Condomínio da Cunha,davi-lucca79@cardoso.br,thales62@bol.com.br,"Lagoa Eduardo da Mata, 50",Alagoas,False,91ab7ca1-fafd-4190-88ba-b34e085e600e,Costa da Prata,6
Ápia,32013971,Mendes do Galho,63.250.147/0001-50,Residencial Maria Sophia Teixeira,isismonteiro@martins.com,oda-costa@pereira.net,"Avenida Costela, 905",Rio de Janeiro,True,39966fa6-bfba-4b57-ac43-b85c40a07cd3,Azevedo de Moura,2
Vila Da Ária,49149162,Aragão Paulista,78.154.690/0001-20,Ladeira de Viana,barbosamaria-cecilia@bol.com.br,camilafogaca@azevedo.br,Campo Nascimento,Distrito Federal,True,1b6dc902-8781-443b-b5c8-23f5643ee96e,Castro,3
Serra,48126413,Freitas,59.146.382/0001-09,Distrito de Barros,santosraquel@rodrigues.com,ribeiroluana@bol.com.br,"Aeroporto Amanda da Rocha, 7",Rondônia,False,bfda76fb-2ae5-4df0-ab37-156d71a08f3f,Costa de Minas,2
Barroca,82753211,Oliveira,57.328.609/0001-01,Morro Ana Silva,valentinada-rosa@yahoo.com.br,ribeirolorena@gmail.com,"Setor Brenda Gonçalves, 7",Distrito Federal,False,2252b4ba-ee4d-4b94-a9f4-4956065ac831,Cardoso,4
